movieid,detail,genres,poster_image,release_date,title
41,,Comedy|Adventure,https://image.tmdb.org/t/p/w200/hZvqv0iRg5S3Aqw3HjXw7gShG6g.jpg,2023-02-01,아스테릭스 & 오벨릭스: 더 미들 킹덤
42,"1915년, 고향 불산을 떠나 홍콩에서 학교를 다니게 된 엽문은 예전 고향 집에서 일하던 호보풍과 재회한다. 어느 날, 엽문과 호보풍은 인신매매 현장을 목격하고 영국인 악당 무리와 싸움을 벌이게 된다. 영국인 악당 우두머리인 스타크는 호보풍의 여동생을 납치하고서 인질을 풀어주는 대가로 중국 무술인 영춘권과 영국 무술인 바티츠의 공개 대결을 제안하는데…",Action|Adventure|History|Drama,https://image.tmdb.org/t/p/w200/u5inEFexijeDQdytlkoSspIoWsU.jpg,2023-05-05,엽문: 종사각성
43,미식축구 쿼터백 톰 브래디의 광팬인 80대의 네 여인이 슈퍼보울 경기를 보러 가면서 벌어지는 이야기를 다룬 코미디 영화,Comedy,https://image.tmdb.org/t/p/w200/qhSFHOS9CeXTqGgmbCi5pteIc6k.jpg,2023-02-03,에이티 포 브래디
44,,Horror,https://image.tmdb.org/t/p/w200/d07xtqwq1uriQ1hda6qeu8Skt5m.jpg,2022-11-02,엑소시스트
45,"‘세이디’와 어린 동생 ‘소여’는 갑작스러운 엄마의 사고로 깊은 슬픔에 빠진다. 그러던 어느날, 낯선 남자가 집에 찾아온 뒤부터 어둠 속에서 알 수 없는 존재가 나타나기 시작하는데… 6월 6일, 공포의 문이 열린다!",Horror|Mystery,https://image.tmdb.org/t/p/w200/8qaKUHcTD4T2Xs43Y4MwvIKXnKb.jpg,2023-05-31,부기맨
46,"아기 팬더를 배달한 게 엊그제 같은데, 이번엔 아기 반달곰이 뚝! 떨어졌다. 그런데 무려, 동물왕국 대통령 후보의 아들이라고?! ‘믹믹’과 ‘오스카’는 동물왕국의 평화를 위해, 다시 한번 아기를 배달하기로 결심한다. 애니멀 특송단, 배달 시작합니다!",Animation|Adventure|Comedy,https://image.tmdb.org/t/p/w200/t4KQRvKUsRTw66cRiGD2w65oKdo.jpg,2022-10-07,빅트립2: 아기곰 배달 대작전
47,"한동안 세상이 멈추면서 만나지 못했던 북 클럽 4인방. 오랜만에 다시 모인 자리에서 비비안이 약혼 소식을 전하고 그런 비비안을 위한 싱글파티의 일환으로 이탈리아 여행을 계획한다. 로마부터 베니스까지, 불타는 청춘 못지 않게 여행하던 이들은 비비안이 주인공인 중요한 일정을 위해 마지막 여행지인 토스카나로 향한다. 그러나 이들 앞에 예상치 못한 일이 벌어지면서 발이 묶이는 위기에 처하는데…",Comedy|Romance,https://image.tmdb.org/t/p/w200/mKjr1fRB6hjVi2XISVEmp5SVRIy.jpg,2023-05-11,북 클럽: 넥스트 챕터
48,"라셸(비르지니 에피라)은 우연히 만난 알리와 사랑에 빠진다. 아이를 원하지만 이뤄지지 않고, 라셸은 그의 딸 레일라에게 깊은 유대를 느낀다. 아이의 엄마, 주변의 출산과 죽음은 라셀에게 조급함을 안겨준다.",Drama,https://image.tmdb.org/t/p/w200/9LPK8q3EDlk0PEvAQnhUtb6BAJb.jpg,2022-09-21,"그, 그리고 그들의 아이들"
49,"""",Horror|Thriller|Fantasy,https://image.tmdb.org/t/p/w200/31W5qM3rfsdJwQCWjDRXa00T8xJ.jpg,2023-04-21,엘더리
50,"엘리스 프렌치는 젊고 게이인 흑인 남성으로, 그의 어머니에게 거절당했고, 그의 미래에 대한 선택권이 거의 없이, 그를 제쳐놓는 시스템에서 성공하기 위해 필요한 모든 것을 하면서 해병대에 입대하기로 결심한다. 그러나 그가 뿌리 깊은 편견과 기초 훈련의 힘든 일상과 싸우면서도, 그는 이 새로운 공동체에서 예상치 못한 동료애, 힘, 그리고 지지를 발견하여, 그의 정체성을 형성하고 그의 삶을 영원히 바꿀 수 있는 어렵게 얻은 소속감을 그에게 준다.",Drama,https://image.tmdb.org/t/p/w200/pvx7TwLXVDKD4jbDeAQ7w459zIY.jpg,2022-11-18,디 인스펙션
51,"""",Romance|Drama|Comedy,https://image.tmdb.org/t/p/w200/yGEiqgynu453hMHxOZYtZlisv95.jpg,2023-05-04,러브 어게인
52,"두 딸 ‘메어’, ‘노라’와 함께 시간을 보내기 위해 친구 ‘마틴’이 있는 남아프리카를 찾은 의사 ‘네이트’.  그러나 즐거운 여행도 잠시, 처참히 죽어 있는 마을 사람들을 목격한 이들은 곧이어 이 모든 상황을 벌인 사자에게 맹목적으로 쫓기기 시작한다.  무전조차 터지지 않는 고립된 지역에서 마을을 완전히 장악해버린 사자로부터 벗어나기 위해 서로 의지하며 고군분투하는데…",Thriller|Action|Horror|Adventure|Drama,https://image.tmdb.org/t/p/w200/xp6EOh0HEN4bx4ot8UfcYnUpT8U.jpg,2022-08-11,비스트
53,"무시무시한 살인마 ‘크리퍼’의 존재에 푹 빠져 있는 호러 마니아 ‘체이스’와 그의 여자친구 ‘레인’. 그들은 마을에서 열리는 호러 마니아들의 축제, 호러 하운드 페스티벌에 참석한다. 순간 계속해서 떠오르는 정체 모를 기억과 소름 돋는 느낌에 레인은 혼란스러움을 느끼지만, 페스티벌 속 호러 이벤트에 당첨되어 신난 체이스를 따라 호러 저택 탐험을 떠난다. 한껏 고대하던 저택 탐험을 하게 된 설렘도 잠시, 무언가가 레인을 덮치고 체이스와 탐험 일행들은 피 비린내 나는 저택에 갇히게 되는데... 공포를 쫓던 호러 매니아들, 진짜 공포 ‘크리퍼’에게 쫓기다!",Horror|Thriller|Mystery,https://image.tmdb.org/t/p/w200/yt0lsyn7ortWByXrHRScEmSisvO.jpg,2022-09-15,지퍼스 크리퍼스: 리본
54,,Comedy,https://image.tmdb.org/t/p/w200/hk2kW6uwTEa8cxDeF1UPfIpEYkF.jpg,2023-05-03,Quiero Tu Vida
55,,History|Drama,https://image.tmdb.org/t/p/w200/fdVd6thTstt0MQ4dUC1IXiOXpxv.jpg,2023-04-27,빅 조지 포먼
56,"꿀성대, 수트 핏, 어나더 레벨 액션, 모든 것이 완벽한 스파이 ‘포춘’과 전 세계 최고 요원들이 뭉쳐 세계 평화를 지키기 위해 고군분투하는 첩보 액션 블록버스터",Action|Comedy|Adventure|Thriller,https://image.tmdb.org/t/p/w200/gEFzlw5tnkJYthVfDS8WuIDZAhU.jpg,2023-01-04,스파이 코드명 포춘
57,"도주 중인 클럽 댄서 루시아는 여동생 로시오가 딸 알바와 함께 살고 있는 마드리드 외곽의 불길한 건물로 피신합니다.""""",Drama|Horror|Thriller,https://image.tmdb.org/t/p/w200/vyQmDx5CF8x9T6WKCLuoFotGpjf.jpg,2022-12-02,비너스
58,"""",Action|Thriller,https://image.tmdb.org/t/p/w200/lCanGgsqF4xD2WA5NF8PWeT3IXd.jpg,2023-05-25,칸다하르
